Hook Name,Type,File Path,Line Number,Usage Context
useState,Built-in React,"apps/meteor/client/sidebar/header/MatrixFederationSearch/MatrixFederationManageServerModal.tsx",47,State management for serverName
useState,Built-in React,"apps/meteor/client/sidebar/header/MatrixFederationSearch/MatrixFederationManageServerModal.tsx",48,State management for errorKey
useState,Built-in React,"apps/meteor/client/sidebar/header/MatrixFederationSearch/MatrixFederationSearchModalContent.tsx",24,State management for serverName
useState,Built-in React,"apps/meteor/client/sidebar/header/MatrixFederationSearch/MatrixFederationSearchModalContent.tsx",29,State management for roomName
useState,Built-in React,"apps/meteor/client/sidebar/RoomList/SidebarItem.tsx",23,State management for menuVisibility
useState,Built-in React,"apps/uikit-playground/src/Components/ScreenThumbnail/EditableLabel/EditableLabel.tsx",7,State management for hover
useState,Built-in React,"apps/uikit-playground/src/Components/ScreenThumbnail/EditableLabel/EditableLabel.tsx",8,State management for inputRef
useState,Built-in React,"apps/uikit-playground/src/Components/ScreenThumbnail/Thumbnail.tsx",16,State management for scale
useState,Built-in React,"apps/uikit-playground/src/Components/ScreenThumbnail/EditMenu/EditMenu.tsx",25,State management for isOpen
useState,Built-in React,"apps/uikit-playground/src/Components/ScreenThumbnail/EditMenu/EditMenu.tsx",26,State management for buttonRef
useState,Built-in React,"apps/uikit-playground/src/Components/ScreenThumbnail/EditMenu/EditMenu.tsx",27,State management for containerRef
useState,Built-in React,"apps/uikit-playground/src/Components/navMenu/NavMenu.tsx",10,State management for isOpen
useState,Built-in React,"apps/uikit-playground/src/Components/HomeContainer/ProjectsList/ProjectsThumbnail.tsx",32,State management for name
useState,Built-in React,"apps/uikit-playground/src/Components/PtototypeContainer/PrototypeContainer.tsx",11,State management for currentScreenID
useState,Built-in React,"apps/uikit-playground/src/Components/PrototypeRender/PrototypeRender.tsx",26,State management for glowActive
useState,Built-in React,"apps/uikit-playground/src/Components/Preview/Display/Surface/Surface.tsx",24,State management for uniqueBlocks
useState,Built-in React,"apps/uikit-playground/src/Components/CreateNewScreen/ScreenThumbnail.tsx",24,State management for name
useState,Built-in React,"apps/uikit-playground/src/Components/FlowContainer/FlowContainer.tsx",40,State management for rfInstance
useState,Built-in React,"apps/uikit-playground/src/Components/DropDown/Items.tsx",12,State management for isOpen
useState,Built-in React,"apps/uikit-playground/src/Components/DropDown/Items.tsx",13,State management for hover
useState,Built-in React,"packages/mock-providers/src/MockedServerContext.tsx",28,State management for queryClient
useEffect,Built-in React,"apps/meteor/client/views/account/AccountRouter.tsx",16,Side effect handling
useEffect,Built-in React,"apps/meteor/client/sidebar/hooks/useShortcutOpenMenu.ts",7,Side effect handling
